Código,Nombre,Descripción,Inicio,Fin,Estado,Sigla,Nombre,Tipo,,Tema,Total,Total Hombres,Total Mujeres,Departamento
200708 - 6,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200713,ALIMENTO POR ACTIVOS,2015-12-11,2016-03-11,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,1492,Seguridad Alimentaria y Nutrición (SAN),43 Directos,28 Hombres,15 Mujeres,Antioquia
200708 - 7,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200714,ALIMENTO POR ACTIVOS,2015-12-11,2016-04-11,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,18161,Seguridad Alimentaria y Nutrición (SAN),484 Directos,236 Hombres,248 Mujeres,Antioquia
200708 - 8,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200715,ALIMENTO POR ACTIVOS,2015-12-15,2016-04-15,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,2152,Seguridad Alimentaria y Nutrición (SAN),57 Directos,22 Hombres,35 Mujeres,Antioquia
200708 - 9,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200716,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,30623,Seguridad Alimentaria y Nutrición (SAN),1000 Directos,493 Hombres,507 Mujeres,Antioquia
200708 - 10,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200717,ALIMENTO POR ACTIVOS,2015-10-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,176,Seguridad Alimentaria y Nutrición (SAN),7 Directos,5 Hombres,2 Mujeres,Antioquia
200708 - 11,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200718,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,18911,Seguridad Alimentaria y Nutrición (SAN),370 Directos,179 Hombres,191 Mujeres,Antioquia
200708 - 12,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200719,ALIMENTO POR ACTIVOS,2015-11-27,2016-01-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,113,Seguridad Alimentaria y Nutrición (SAN),3 Directos,2 Hombres,1 Mujeres,Antioquia
200708 - 13,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200720,ALIMENTO POR ACTIVOS,2015-11-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,151,Seguridad Alimentaria y Nutrición (SAN),6 Directos,3 Hombres,3 Mujeres,Antioquia
200708 - 14,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200721,ALIMENTO POR ACTIVOS,2015-11-27,2016-03-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,23200,Seguridad Alimentaria y Nutrición (SAN),614 Directos,315 Hombres,299 Mujeres,Antioquia
200708 - 15,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200722,SOCORRO INDIVIDUAL,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,38,Seguridad Alimentaria y Nutrición (SAN),3 Directos,1 Hombres,2 Mujeres,Caquetá
200708 - 16,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200723,ALIMENTO POR ACTIVOS,2015-11-09,2016-03-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,11041,Seguridad Alimentaria y Nutrición (SAN),266 Directos,133 Hombres,133 Mujeres,Caquetá
200708 - 17,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200724,ALIMENTOS POR CAPACITACION,2015-11-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,50,Seguridad Alimentaria y Nutrición (SAN),2 Directos,1 Hombres,1 Mujeres,Caquetá
200708 - 18,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200725,ALIMENTOS POR CAPACITACION,2015-11-27,2016-03-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,1180,Seguridad Alimentaria y Nutrición (SAN),47 Directos,15 Hombres,32 Mujeres,Caquetá
200708 - 19,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200726,ALIMENTOS POR CAPACITACION,2015-12-15,2016-04-15,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,39036,Seguridad Alimentaria y Nutrición (SAN),1046 Directos,499 Hombres,547 Mujeres,Caquetá
200708 - 20,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200727,ALIMENTOS POR CAPACITACION,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,1208,Seguridad Alimentaria y Nutrición (SAN),96 Directos,43 Hombres,53 Mujeres,Caquetá
200708 - 21,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200728,ALIMENTOS POR CAPACITACION,2015-12-16,2016-04-16,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,37849,Seguridad Alimentaria y Nutrición (SAN),1903 Directos,838 Hombres,1065 Mujeres,Caquetá
200708 - 22,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200729,SOCORRO COMUNIDADES,2015-12-15,2016-05-15,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,16494,Seguridad Alimentaria y Nutrición (SAN),658 Directos,658 Hombres,,Caquetá
200708 - 23,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200730,SOCORRO INDIVIDUAL,2015-12-15,2016-04-15,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,189,Seguridad Alimentaria y Nutrición (SAN),15 Directos,5 Hombres,10 Mujeres,Caquetá
200708 - 24,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200731,SOCORRO INDIVIDUAL,2015-12-15,2016-05-15,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,3143,Seguridad Alimentaria y Nutrición (SAN),127 Directos,127 Hombres,,Caquetá
200708 - 25,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200732,SOCORRO INDIVIDUAL,2015-12-16,2016-04-16,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,50,Seguridad Alimentaria y Nutrición (SAN),4 Directos,3 Hombres,1 Mujeres,Caquetá
200708 - 26,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200733,ALIMENTO POR ACTIVOS,2015-11-06,2016-03-05,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,16905,Seguridad Alimentaria y Nutrición (SAN),612 Directos,291 Hombres,321 Mujeres,Caquetá
200708 - 27,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200734,SOCORRO COMUNIDADES,2015-10-28,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,4423,Seguridad Alimentaria y Nutrición (SAN),319 Directos,155 Hombres,164 Mujeres,Caquetá
200708 - 28,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200735,SOCORRO COMUNIDADES,2015-11-25,2016-04-25,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,176,Seguridad Alimentaria y Nutrición (SAN),7 Directos,4 Hombres,3 Mujeres,Caquetá
200708 - 29,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200736,SOCORRO COMUNIDADES,2015-12-16,2016-05-16,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,6569,Seguridad Alimentaria y Nutrición (SAN),267 Directos,118 Hombres,149 Mujeres,Caquetá
200708 - 30,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200737,SOCORRO INDIVIDUAL,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,642,Seguridad Alimentaria y Nutrición (SAN),51 Directos,25 Hombres,26 Mujeres,Caquetá
200708 - 31,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200738,ALIMENTOS POR CAPACITACION,2015-10-28,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,967,Seguridad Alimentaria y Nutrición (SAN),70 Directos,38 Hombres,32 Mujeres,Caquetá
200708 - 32,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200739,ALIMENTO POR ACTIVOS,2015-11-06,2016-03-05,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,26377,Seguridad Alimentaria y Nutrición (SAN),513 Directos,246 Hombres,267 Mujeres,Caquetá
200708 - 33,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200740,ALIMENTO POR ACTIVOS,2015-11-18,2016-03-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,27,Seguridad Alimentaria y Nutrición (SAN),2 Directos,1 Hombres,1 Mujeres,Cauca
200708 - 34,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200741,ALIMENTOS POR CAPACITACION,2015-11-17,2016-02-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,38,Seguridad Alimentaria y Nutrición (SAN),3 Directos,1 Hombres,2 Mujeres,Cauca
200708 - 35,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200742,ALIMENTOS POR CAPACITACION,2015-11-17,2016-03-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,8983,Seguridad Alimentaria y Nutrición (SAN),362 Directos,143 Hombres,219 Mujeres,Cauca
200708 - 36,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200743,ALIMENTOS POR CAPACITACION,2015-11-23,2016-02-23,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,88,Seguridad Alimentaria y Nutrición (SAN),7 Directos,2 Hombres,5 Mujeres,Cauca
200708 - 37,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200744,ALIMENTOS POR CAPACITACION,2015-11-25,2016-02-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,214,Seguridad Alimentaria y Nutrición (SAN),17 Directos,6 Hombres,11 Mujeres,Cauca
200708 - 38,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200745,ALIMENTOS POR CAPACITACION,2015-11-27,2016-02-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,76,Seguridad Alimentaria y Nutrición (SAN),3 Directos,1 Hombres,2 Mujeres,Cauca
200708 - 39,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200746,ALIMENTOS POR CAPACITACION,2015-12-07,2016-04-07,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,176,Seguridad Alimentaria y Nutrición (SAN),7 Directos,1 Hombres,6 Mujeres,Cauca
200708 - 40,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200747,ALIMENTOS POR CAPACITACION,2015-11-19,2016-03-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,16676,Seguridad Alimentaria y Nutrición (SAN),603 Directos,212 Hombres,391 Mujeres,Cauca
200708 - 41,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200748,ALIMENTOS POR CAPACITACION,2015-11-17,2016-03-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,23032,Seguridad Alimentaria y Nutrición (SAN),1003 Directos,468 Hombres,535 Mujeres,Cauca
200708 - 42,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200749,SOCORRO COMUNIDADES,2015-09-29,2016-02-29,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,137,Seguridad Alimentaria y Nutrición (SAN),5 Directos,2 Hombres,3 Mujeres,Cauca
200708 - 43,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200750,SOCORRO COMUNIDADES,2015-11-09,2016-04-07,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,13734,Seguridad Alimentaria y Nutrición (SAN),496 Directos,240 Hombres,256 Mujeres,Cauca
200708 - 44,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200751,ALIMENTOS POR CAPACITACION,2015-11-26,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,2694,Seguridad Alimentaria y Nutrición (SAN),238 Directos,238 Hombres,,Cauca
200708 - 45,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200752,SOCORRO COMUNIDADES,2015-11-30,2016-04-28,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,10609,Seguridad Alimentaria y Nutrición (SAN),767 Directos,763 Hombres,4 Mujeres,Cauca
200708 - 46,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200753,ALIMENTO POR ACTIVOS,2015-12-04,2016-04-04,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,5683,Seguridad Alimentaria y Nutrición (SAN),558 Directos,320 Hombres,238 Mujeres,Cauca
200708 - 47,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200754,ALIMENTO POR ACTIVOS,2015-11-23,2016-02-21,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,14205,Seguridad Alimentaria y Nutrición (SAN),600 Directos,345 Hombres,255 Mujeres,Cauca
200708 - 48,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200755,SOCORRO COMUNIDADES,2015-11-23,2016-03-22,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,4387,Seguridad Alimentaria y Nutrición (SAN),957 Directos,461 Hombres,496 Mujeres,Cauca
200708 - 49,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200756,ALIMENTOS POR CAPACITACION,2015-11-23,2016-03-22,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,6898,Seguridad Alimentaria y Nutrición (SAN),499 Directos,271 Hombres,228 Mujeres,Cauca
200708 - 50,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200757,SOCORRO COMUNIDADES,2015-11-23,2016-04-21,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,5544,Seguridad Alimentaria y Nutrición (SAN),401 Directos,201 Hombres,200 Mujeres,Cauca
200708 - 51,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200758,ALIMENTOS POR CAPACITACION,2015-11-26,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,1421,Seguridad Alimentaria y Nutrición (SAN),150 Directos,75 Hombres,75 Mujeres,Cauca
200708 - 52,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200759,SOCORRO COMUNIDADES,2015-11-30,2016-04-28,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,4837,Seguridad Alimentaria y Nutrición (SAN),350 Directos,192 Hombres,158 Mujeres,Cauca
200708 - 53,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200760,ALIMENTOS POR CAPACITACION,2015-11-13,2016-03-13,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,6084,Seguridad Alimentaria y Nutrición (SAN),547 Directos,206 Hombres,341 Mujeres,Cauca
200708 - 54,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200761,ALIMENTOS POR CAPACITACION,2015-11-18,2016-03-18,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,790,Seguridad Alimentaria y Nutrición (SAN),63 Directos,23 Hombres,40 Mujeres,Cauca
200708 - 55,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200762,ALIMENTOS POR CAPACITACION,2015-11-17,2016-06-04,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,5486,Seguridad Alimentaria y Nutrición (SAN),404 Directos,153 Hombres,251 Mujeres,Cauca
200708 - 56,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200763,ALIMENTOS POR CAPACITACION,2015-11-13,2016-03-13,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,6973,Seguridad Alimentaria y Nutrición (SAN),562 Directos,212 Hombres,350 Mujeres,Cauca
200708 - 57,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200764,ALIMENTOS POR CAPACITACION,2015-11-23,2016-03-23,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,151,Seguridad Alimentaria y Nutrición (SAN),12 Directos,6 Hombres,6 Mujeres,Cauca
200708 - 58,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200765,ALIMENTOS POR CAPACITACION,2015-11-17,2016-03-16,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,7604,Seguridad Alimentaria y Nutrición (SAN),551 Directos,184 Hombres,367 Mujeres,Cauca
200708 - 59,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200766,ALIMENTO POR ACTIVOS,2015-11-20,2016-03-20,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,3459,Seguridad Alimentaria y Nutrición (SAN),552 Directos,286 Hombres,266 Mujeres,Cauca
200708 - 60,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200767,SOCORRO COMUNIDADES,2015-11-23,2016-04-21,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,5515,Seguridad Alimentaria y Nutrición (SAN),447 Directos,242 Hombres,205 Mujeres,Cauca
